,Prices,Prices_pm,Area,Type,Town
0,20 000,1 000 ,20,Namų valda,Širvintų r. sav.
1,27 000,871 ,31,Namų valda,Kretingos r. sav.
2,20 000,2 000 ,10,Namų valda,Vilniaus r. sav.
3,40 000,500 ,80,Žemės ūkio,Trakų r. sav.
4,16 000,1 067 ,15,Namų valda,Širvintų r. sav.
5,5 000,100 ,50,"Namų valda, žemės ūkio, kita",Utenos r. sav.
6,39 000,4 467 ,8.73,Namų valda,Kauno r. sav.
7,110 000,19 749 ,5.57,Namų valda,Vilnius
8,53 600,800 ,67,"Namų valda, žemės ūkio",Vilniaus r. sav.
9,3 350 000,632 ,5300,"Miškų ūkio, namų valda, žemės ūkio",Vilniaus r. sav.
10,25 000,278 ,90,"Namų valda, žemės ūkio",Vilniaus r. sav.
11,39 990,21 ,1950,Namų valda,Klaipėdos r. sav.
12,12 000,99 ,120.79,"Žemės ūkio, kita",Trakų r. sav.
13,7 000,1 016 ,6.89,Žemės ūkio,Vilniaus r. sav.
14,99 000,538 ,184,Žemės ūkio,Vilniaus r. sav.
15,14 900,212 ,70.24,Žemės ūkio,Vilniaus r. sav.
16,119 000,14 875 ,8,Namų valda,Palanga
17,18 000,22 ,815.7,Namų valda,Utenos r. sav.
18,310 000,2 214 ,140,"Namų valda, žemės ūkio",Vilnius
19,49 900,4 883 ,10.22,Namų valda,Vilniaus r. sav.
20,13 900,236 ,59,"Namų valda, žemės ūkio, sklypas soduose, ...",Vilniaus r. sav.
21,103 455,479 ,216,Namų valda,Molėtų r. sav.
22,69 000,1 380 ,50,"Namų valda, žemės ūkio",Vilniaus r. sav.
23,47 600,3 598 ,13.23,Namų valda,Trakų r. sav.
24,55 000,3 438 ,16,Namų valda,Vilniaus r. sav.
