Location,Intendance,Area_Overall
,,
,Paskirtis,Plotas (a)
"Kaunas, Aleksotas
Moliūgų tak.
51 000 €
8 500 €/a",Sklypas soduose,6
"Trakų r. sav., Šventininkų k.
Ajerų g.
25 000 €
2 493 €/a",Namų valda,10.03
"Širvintų r. sav., Juodkų k.
Upės g.
20 000 €
1 000 €/a",Namų valda,20
"Vilniaus r. sav., Vilkeliškių k.
Salotės g.
707 000 €
54 934 €/a",Namų valda,12.87
"Vilniaus r. sav., Juodbalių k.
Naujakurių g.
35 900 €
2 392 €/a",Namų valda,15.01
"Klaipėdos r. sav., Jonušų k.
Durpyno g.
49 900 €
811 €/a",Pramonės,61.56
"Širvintų r. sav., Papiernios k.
Pamiškės g.
Kaina sumažėjusi 15,8%
16 000 €
1 067 €/a",Namų valda,15
"Vilnius, Antakalnis
Rokantiškių g.
595 000 €
5 219 €/a",Kita,114
"Druskininkų sav., Gailiūnų k.
Vyšnyno g.
28 800 €
1 600 €/a",Namų valda,18
"Kaunas, Romainiai
Romainių g.
190 000 €
10 349 €/a",Namų valda,18.36
"Vilnius, Trakų Vokė
Gunkliškių g.
97 000 €
9 585 €/a",Namų valda,10.12
"Vilniaus r. sav.
Gojaus k.
13 900 €
236 €/a","Namų valda, žemės ūkio, sklypas soduose, ...",59
"Vilnius, Paneriai
Paluknio g.
210 000 €
2 059 €/a","Namų valda, žemės ūkio",102
"Vilniaus r. sav., Papiškių k.
Draugų g.
Kaina sumažėjusi 5,8%
47 000 €
4 599 €/a",Namų valda,10.22
"Vilniaus r. sav., Riešės vs.
Šv. Jono g.
39 000 €
3 900 €/a",Namų valda,10
"Vilniaus r. sav., Skaidiškių k.
Akacijų g.
Kaina sumažėjusi 2,9%
33 000 €
3 300 €/a",Namų valda,10
"Vilniaus r. sav., Vydautiškių k.
Pušynėlio g.
59 000 €
894 €/a","Namų valda, komercinė, rekreacinė",66
"Trakų r. sav., Vosyliukų k.
Pienių aklg.
29 000 €
2 900 €/a",Namų valda,10
"Kaunas, Aukštutiniai Kaniūkai
Medekšinės g.
950 000 €
19 000 €/a","Namų valda, daugiabučių statyba",50
"Ignalinos r. sav.
Prūtelės k.
Kaina sumažėjusi 0,6%
159 000 €
458 €/a","Žemės ūkio, miškų ūkio",347
"Lazdijų r. sav.
Kalvių k.
Kaina sumažėjusi 0,9%
62 900 €
572 €/a","Žemės ūkio, miškų ūkio",110
"Klaipėdos r. sav., Aukštkiemių k.
Japonų g.
98 700 €
15 000 €/a",Namų valda,6.58
"Vilnius
Gurelių g.
Kaina sumažėjusi 16,7%
19 999 €
100 €/a","Namų valda, žemės ūkio, miškų ūkio",200
"Vilnius, Paneriai
Paluknio g.
310 000 €
2 214 €/a","Namų valda, žemės ūkio",140
"Vilniaus r. sav., Riešės vs.
Šv. Jono g.
75 000 €
3 000 €/a",Namų valda,25
