,0,1,2,3,4,5,6,7,8
0,,,,,,,,,
1,1,Įsakymas,"Priėmė
                                    
                                        Lietuvos Respublikos socialinės apsaugos ir darbo ministerija",Identifikacinis kodas 2024-11420,A1-421,2024-06-21,2024-06-21,,Įsakymo 2 punktas įsigalioja 2024-06-22
2,2,Nutarimas,"Priėmė
                                    
                                        Valstybinė energetikos reguliavimo taryba",Identifikacinis kodas 2024-11419,O3E-885,2024-06-21,2024-06-21,,
3,3,Nutarimas,"Priėmė
                                    
                                        Valstybinė energetikos reguliavimo taryba",Identifikacinis kodas 2024-11418,O3E-883,2024-06-21,2024-06-21,,
4,4,Nutarimas,"Priėmė
                                    
                                        Valstybinė energetikos reguliavimo taryba",Identifikacinis kodas 2024-11417,O3E-875,2024-06-21,2024-06-21,,
5,5,Potvarkis,"Priėmė
                                    
                                        Lietuvos Respublikos Ministras Pirmininkas",Identifikacinis kodas 2024-11416,118,2024-06-21,2024-06-21,,
6,6,Įsakymas,"Priėmė
                                    
                                        Žemės ūkio agentūra prie Žemės ūkio ministerijos",Identifikacinis kodas 2024-11415,VĮ-168,2024-06-21,2024-06-21,,
7,7,Įsakymas,"Priėmė
                                    
                                        Lietuvos Respublikos švietimo, mokslo ir sporto ministerija",Identifikacinis kodas 2024-11412,V-707,2024-06-21,2024-06-21,,
8,8,Įstatymas,"Priėmė
                                    
                                        Lietuvos Respublikos Seimas",Identifikacinis kodas 2024-11411,XIV-2764,2024-06-18,2024-06-21,,
9,9,Įstatymas,"Priėmė
                                    
                                        Lietuvos Respublikos Seimas",Identifikacinis kodas 2024-11410,XIV-2763,2024-06-18,2024-06-21,,
10,10,Įstatymas,"Priėmė
                                    
                                        Lietuvos Respublikos Seimas",Identifikacinis kodas 2024-11409,XIV-2762,2024-06-18,2024-06-21,,"Įstatymo 13 straipsnio 4 dalis įsigalioja 2024-06-22.
Įstatymo 12 straipsnis įsigalioja 2026-01-01.
Įstatymo 6 straipsnio 3 dalis įsigalioja 2026-07-01"
11,11,Įstatymas,"Priėmė
                                    
                                        Lietuvos Respublikos Seimas",Identifikacinis kodas 2024-11408,XIV-2757,2024-06-18,2024-06-21,,
12,12,Įsakymas,"Priėmė
                                    
                                        Lietuvos Respublikos ekonomikos ir inovacijų ministerija",Identifikacinis kodas 2024-11407,4-350,2024-06-21,2024-06-21,,
13,13,Įsakymas,"Priėmė
                                    
                                        Lietuvos Respublikos sveikatos apsaugos ministerija",Identifikacinis kodas 2024-11406,V-670,2024-06-21,2024-06-21,,
14,14,Įsakymas,"Priėmė
                                    
                                        Užimtumo tarnyba prie Lietuvos Respublikos socialinės apsaugos ir darbo ministerijos",Identifikacinis kodas 2024-11405,V-132,2024-06-21,2024-06-21,,
15,15,Įsakymas,"Priėmė
                                    
                                        Lietuvos Respublikos valstybės kontrolė",Identifikacinis kodas 2024-11404,VE-49,2024-06-21,2024-06-21,,
16,16,Įsakymas,"Priėmė
                                    
                                        Lietuvos Respublikos žemės ūkio ministerija",Identifikacinis kodas 2024-11398,3D-483,2024-06-21,2024-06-21,,
17,17,Nutarimas,"Priėmė
                                    
                                        Lietuvos Respublikos Vyriausybė",Identifikacinis kodas 2024-11395,512,2024-06-19,2024-06-21,,
18,18,Nutarimas,"Priėmė
                                    
                                        Teisėjų taryba",Identifikacinis kodas 2024-11394,13P-77-(7.1.2.),2024-06-20,2024-06-21,,
19,19,Nutarimas,"Priėmė
                                    
                                        Nacionalinė teismų administracija",Identifikacinis kodas 2024-11393,13P-76-(7.1.2.),2024-06-20,2024-06-21,,
20,20,Nutarimas,"Priėmė
                                    
                                        Nacionalinė teismų administracija",Identifikacinis kodas 2024-11392,13P-75-(7.1.2.),2024-06-20,2024-06-21,,
21,,,,,,,,,
22,1,Potvarkis,"Priėmė
                                    
                                        Kauno rajono savivaldybės administracija",Identifikacinis kodas 2024-11414,MP-766,2024-06-21,2024-06-21,,
