Laikas,Temperatūra,Vėjo greitis,Krituliai,Slėgis,Drėgnis,Juntamoji temperatūra
22:00,19 °C,8 m/s,0 mm/val.,1007 hPa,91 %,19 °C
23:00,19 °C,8 m/s,0 mm/val.,1006 hPa,90 %,19 °C
00:00,19 °C,7 m/s,0 mm/val.,1006 hPa,90 %,19 °C
01:00,18 °C,6 m/s,0.1 mm/val.,1006 hPa,93 %,18 °C
02:00,17 °C,4 m/s,0 mm/val.,1007 hPa,95 %,17 °C
03:00,18 °C,5 m/s,0 mm/val.,1007 hPa,94 %,18 °C
04:00,17 °C,9 m/s,0 mm/val.,1008 hPa,95 %,17 °C
05:00,17 °C,9 m/s,0 mm/val.,1008 hPa,92 %,17 °C
06:00,16 °C,8 m/s,0 mm/val.,1008 hPa,91 %,16 °C
07:00,16 °C,8 m/s,0 mm/val.,1008 hPa,88 %,16 °C
08:00,16 °C,8 m/s,0 mm/val.,1008 hPa,87 %,16 °C
09:00,16 °C,7 m/s,0 mm/val.,1008 hPa,85 %,16 °C
10:00,17 °C,7 m/s,0 mm/val.,1008 hPa,81 %,17 °C
11:00,18 °C,8 m/s,0 mm/val.,1008 hPa,75 %,18 °C
12:00,18 °C,9 m/s,0 mm/val.,1008 hPa,76 %,18 °C
13:00,17 °C,8 m/s,0 mm/val.,1009 hPa,79 %,17 °C
14:00,17 °C,8 m/s,0 mm/val.,1009 hPa,82 %,17 °C
15:00,17 °C,8 m/s,0 mm/val.,1009 hPa,83 %,17 °C
16:00,17 °C,8 m/s,0.1 mm/val.,1009 hPa,86 %,17 °C
17:00,16 °C,9 m/s,0.1 mm/val.,1009 hPa,92 %,16 °C
18:00,15 °C,9 m/s,0.1 mm/val.,1009 hPa,91 %,15 °C
19:00,16 °C,8 m/s,0 mm/val.,1010 hPa,87 %,16 °C
20:00,16 °C,8 m/s,0 mm/val.,1010 hPa,87 %,16 °C
21:00,16 °C,7 m/s,0 mm/val.,1010 hPa,86 %,16 °C
22:00,15 °C,7 m/s,0 mm/val.,1010 hPa,88 %,15 °C
23:00,15 °C,7 m/s,0 mm/val.,1011 hPa,88 %,15 °C
00:00,14 °C,7 m/s,0 mm/val.,1011 hPa,90 %,14 °C
01:00,14 °C,6 m/s,0.1 mm/val.,1011 hPa,91 %,14 °C
02:00,14 °C,6 m/s,0 mm/val.,1011 hPa,93 %,14 °C
03:00,14 °C,5 m/s,0.1 mm/val.,1011 hPa,94 %,14 °C
04:00,13 °C,5 m/s,0 mm/val.,1011 hPa,95 %,13 °C
05:00,13 °C,5 m/s,0.1 mm/val.,1011 hPa,97 %,13 °C
06:00,13 °C,4 m/s,0.1 mm/val.,1011 hPa,99 %,13 °C
07:00,13 °C,2 m/s,0.1 mm/val.,1011 hPa,100 %,13 °C
08:00,13 °C,2 m/s,0 mm/val.,1012 hPa,99 %,13 °C
09:00,13 °C,4 m/s,0 mm/val.,1013 hPa,99 %,13 °C
10:00,14 °C,4 m/s,0.1 mm/val.,1013 hPa,97 %,14 °C
11:00,16 °C,4 m/s,0 mm/val.,1014 hPa,91 %,16 °C
12:00,17 °C,5 m/s,0 mm/val.,1014 hPa,84 %,17 °C
13:00,18 °C,5 m/s,0 mm/val.,1015 hPa,79 %,18 °C
14:00,19 °C,6 m/s,0 mm/val.,1015 hPa,74 %,19 °C
15:00,20 °C,6 m/s,0 mm/val.,1015 hPa,70 %,20 °C
16:00,21 °C,7 m/s,0 mm/val.,1016 hPa,67 %,21 °C
17:00,20 °C,7 m/s,0 mm/val.,1016 hPa,71 %,20 °C
18:00,19 °C,8 m/s,0 mm/val.,1016 hPa,77 %,19 °C
19:00,20 °C,7 m/s,0 mm/val.,1016 hPa,75 %,20 °C
20:00,20 °C,7 m/s,0 mm/val.,1017 hPa,75 %,20 °C
21:00,19 °C,6 m/s,0 mm/val.,1018 hPa,76 %,19 °C
22:00,18 °C,5 m/s,0 mm/val.,1018 hPa,80 %,18 °C
23:00,17 °C,4 m/s,0 mm/val.,1019 hPa,85 %,17 °C
